timestamp_local;time_local;sun_azimuth_deg;sun_elevation_deg;target_angle_deg;actuator_percent;openness_percent;strategy_used;weather_override_active;reason;direct_sun_depth_m;protected_zone_breached;base_protected_overlap_m2;additional_protected_overlap_m2;effective_protected_overlap_m2;hits_house_wall;sun_patch_start_x_m;sun_patch_end_x_m;sun_patch_start_y_m;sun_patch_end_y_m
2026-04-29T00:00:00+02:00;00:00;344.093;-25.562;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T01:00:00+02:00;01:00;0.21;-26.913;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T02:00:00+02:00;02:00;16.34;-25.776;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T03:00:00+02:00;03:00;31.59;-21.709;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T04:00:00+02:00;04:00;45.455;-15.483;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T05:00:00+02:00;05:00;57.958;-7.634;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T06:00:00+02:00;06:00;69.44;1.597;1.6;1;2;balanced;False;balanced strategy keeps maximum light within tolerance;1.646;False;0;0;0;False;92.772;95.772;-38.542;-31.832
2026-04-29T07:00:00+02:00;07:00;80.397;10.955;10.96;9;12;balanced;False;balanced strategy keeps maximum light within tolerance;1.725;False;0;0;0;False;14.169;17.169;-2.909;3.801
2026-04-29T08:00:00+02:00;08:00;91.429;20.849;20.85;17;23;balanced;False;balanced strategy keeps maximum light within tolerance;1.703;False;0;0;0;False;7.352;10.352;-0.073;6.637
2026-04-29T09:00:00+02:00;09:00;103.276;30.711;30.71;26;34;balanced;False;balanced strategy keeps maximum light within tolerance;1.577;False;0;0;0;False;4.623;7.623;0.922;7.632
2026-04-29T10:00:00+02:00;10:00;116.942;40.06;40.06;33;45;balanced;False;balanced strategy keeps maximum light within tolerance;1.344;False;0;0;0;False;3.019;6.019;1.404;8.114
2026-04-29T11:00:00+02:00;11:00;133.772;48.196;135;100;0;balanced;False;balanced strategy switched to shade because protected zone was breached;0;False;5.711;0;0;False;1.867;4.867;1.668;8.378
2026-04-29T12:00:00+02:00;12:00;155.071;54.026;135;100;0;balanced;False;balanced strategy switched to shade because protected zone was breached;0;False;10.186;0;0;False;0.92;3.92;1.812;8.522
2026-04-29T13:00:00+02:00;13:00;180.308;56.18;135;100;0;balanced;False;balanced strategy switched to shade because protected zone was breached;0;False;14.237;0;0;False;0.055;3.055;1.875;8.585
2026-04-29T14:00:00+02:00;14:00;205.5;53.95;135;100;0;balanced;False;balanced strategy switched to shade because protected zone was breached;0;False;10.589;3.916;0;False;-0.813;2.187;1.869;8.579
2026-04-29T15:00:00+02:00;15:00;226.713;48.07;135;100;0;balanced;False;balanced strategy switched to shade because protected zone was breached;0;False;6.058;8.691;0;False;-1.769;1.231;1.787;8.497
2026-04-29T16:00:00+02:00;16:00;243.474;39.911;129.91;97;11;balanced;False;balanced strategy switched to shade because protected zone was breached;0.333;True;0.301;15.013;1.732;False;-2.941;0.059;1.599;8.309
2026-04-29T17:00:00+02:00;17:00;257.1;30.559;120.56;92;32;balanced;False;balanced strategy switched to shade because protected zone was breached;1.471;True;0;16.47;5.286;False;-4.583;-1.583;1.219;7.929
2026-04-29T18:00:00+02:00;18:00;268.933;20.708;110.71;87;54;balanced;False;balanced strategy switched to shade because protected zone was breached;3.993;True;0;10.148;5.478;False;-7.396;-4.396;0.396;7.106
2026-04-29T19:00:00+02:00;19:00;279.967;10.838;10.84;9;12;balanced;False;balanced strategy keeps maximum light within tolerance;1.744;False;0;0;0;False;-14.484;-11.484;-2.027;4.683
2026-04-29T20:00:00+02:00;20:00;290.94;1.522;1.52;1;2;balanced;False;balanced strategy keeps maximum light within tolerance;1.686;False;0;0;0;False;-99.667;-96.667;-34.2;-27.49
2026-04-29T21:00:00+02:00;21:00;302.445;-7.665;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T22:00:00+02:00;22:00;314.973;-15.447;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
2026-04-29T23:00:00+02:00;23:00;328.853;-21.59;0;0;0;balanced;False;balanced strategy keeps maximum light within tolerance;0;False;0;0;0;False;;;;
